id,oswp
1,https://orka.sejm.gov.pl/osw10.nsf/0/BCABAA60BA061079C1258A6200565C75/%24File/OSW10P_001.pdf
2,https://orka.sejm.gov.pl/osw10.nsf/0/B4D60B6E26CE6C99C1258A65005C6461/%24File/OSW10P_002.pdf
3,https://orka.sejm.gov.pl/osw10.nsf/0/04D0D036364AB0B3C1258A5400545FCC/%24File/OSW10P_003.pdf
4,https://orka.sejm.gov.pl/osw10.nsf/0/06288003EF0068F7C1258A6200592F87/%24File/OSW10P_004.pdf
5,https://orka.sejm.gov.pl/osw10.nsf/0/7BA6E5D242612974C1258A6500645F5F/%24File/OSW10P_005.pdf
6,https://orka.sejm.gov.pl/osw10.nsf/0/B2FA095E1CC77F71C1258A66003C4117/%24File/OSW10P_006.pdf
7,https://orka.sejm.gov.pl/osw10.nsf/0/35916971A44E4CC6C1258A65006BE7C0/%24File/OSW10P_007.pdf
8,https://orka.sejm.gov.pl/osw10.nsf/0/82DA76498469E1CAC1258A61004BE0AF/%24File/OSW10P_008.pdf
9,https://orka.sejm.gov.pl/osw10.nsf/0/9EE3492E9B3F4976C1258A6600417A76/%24File/OSW10P_009.pdf
10,https://orka.sejm.gov.pl/osw10.nsf/0/0AF4AA97A6499C11C1258A550039E103/%24File/OSW10P_010.pdf
11,https://orka.sejm.gov.pl/osw10.nsf/0/86D5DF26C1AA274CC1258A660031D946/%24File/OSW10P_011.pdf
12,https://orka.sejm.gov.pl/osw10.nsf/0/AC8A09F4C46618B4C1258A54004E799A/%24File/OSW10P_012.pdf
13,https://orka.sejm.gov.pl/osw10.nsf/0/4CDF5B43E11FE956C1258A61004C722D/%24File/OSW10P_013.pdf
14,https://orka.sejm.gov.pl/osw10.nsf/0/31270DD34C1DE062C1258A6500617DAF/%24File/OSW10P_014.pdf
15,https://orka.sejm.gov.pl/osw10.nsf/0/A6008405BA39AD07C1258A5800375A9E/%24File/OSW10P_015.pdf
16,https://orka.sejm.gov.pl/osw10.nsf/0/E415979D231B9972C1258A61003BBD89/%24File/OSW10P_016.pdf
17,https://orka.sejm.gov.pl/osw10.nsf/0/2B925AAB926FE970C1258A540054F61B/%24File/OSW10P_017.pdf
18,https://orka.sejm.gov.pl/osw10.nsf/0/F6485A760E6BBE5AC1258A61004BCE98/%24File/OSW10P_018.pdf
19,https://orka.sejm.gov.pl/osw10.nsf/0/536BE4437D0EA2E3C1258A65006DADF5/%24File/OSW10P_019.pdf
20,https://orka.sejm.gov.pl/osw10.nsf/0/8A6BC9E76ADCADCCC1258A65006C9620/%24File/OSW10P_020.pdf
21,https://orka.sejm.gov.pl/osw10.nsf/0/2962754396515D09C1258A65006484A3/%24File/OSW10P_021.pdf
22,https://orka.sejm.gov.pl/osw10.nsf/0/880F9B984072D581C1258A66002AD619/%24File/OSW10P_022.pdf
23,https://orka.sejm.gov.pl/osw10.nsf/0/C00B2074E603FE3DC1258A65006DF60E/%24File/OSW10P_023.pdf
24,https://orka.sejm.gov.pl/osw10.nsf/0/296C17C3FCB754BDC1258A6500638044/%24File/OSW10P_024.pdf
25,https://orka.sejm.gov.pl/osw10.nsf/0/06A0AEF8B43C229FC1258A65006BE5D1/%24File/OSW10P_025.pdf
26,https://orka.sejm.gov.pl/osw10.nsf/0/C93B67574F6C9158C1258A5400558B66/%24File/OSW10P_026.pdf
27,https://orka.sejm.gov.pl/osw10.nsf/0/BDFA7A8CDD24F17BC1258A5400522F24/%24File/OSW10P_027.pdf
28,https://orka.sejm.gov.pl/osw10.nsf/0/49DEEEAB7482703FC1258A66003CA550/%24File/OSW10P_028.pdf
29,https://orka.sejm.gov.pl/osw10.nsf/0/3EC52E92045CEF17C1258A580044E3E1/%24File/OSW10P_029.pdf
30,https://orka.sejm.gov.pl/osw10.nsf/0/90BFBCE04DDD9A40C1258A54004E9D53/%24File/OSW10P_030.pdf
31,https://orka.sejm.gov.pl/osw10.nsf/0/A38C875202B8ACF0C1258A6500621A54/%24File/OSW10P_031.pdf
32,https://orka.sejm.gov.pl/osw10.nsf/0/72431C638480C5FBC1258A66002BA24A/%24File/OSW10P_032.pdf
33,https://orka.sejm.gov.pl/osw10.nsf/0/913808456AA29A74C1258A66002BEA5F/%24File/OSW10P_033.pdf
34,https://orka.sejm.gov.pl/osw10.nsf/0/AF6BCE157D5F7325C1258A600052C0DE/%24File/OSW10P_034.pdf
35,https://orka.sejm.gov.pl/osw10.nsf/0/2F34ABFE622D3E5DC1258A66002B32A7/%24File/OSW10P_035.pdf
36,https://orka.sejm.gov.pl/osw10.nsf/0/5C67D04986203B26C1258A6200506F6E/%24File/OSW10P_036.pdf
37,https://orka.sejm.gov.pl/osw10.nsf/0/BBB9B92927B444DCC1258A65006DFEE5/%24File/OSW10P_037.pdf
38,https://orka.sejm.gov.pl/osw10.nsf/0/5E84B001FB99212BC1258A5C00318ACD/%24File/OSW10P_038.pdf
39,https://orka.sejm.gov.pl/osw10.nsf/0/7B71AA765932DC9CC1258A66002E064E/%24File/OSW10P_039.pdf
40,https://orka.sejm.gov.pl/osw10.nsf/0/C8D75C7DD78D25F2C1258A5F00579090/%24File/OSW10P_040.pdf
41,https://orka.sejm.gov.pl/osw10.nsf/0/CC03B6847F61F2EAC1258A65006CF3A3/%24File/OSW10P_041.pdf
42,https://orka.sejm.gov.pl/osw10.nsf/0/BFBC600ACB574DAAC1258A54005CA30C/%24File/OSW10P_042.pdf
43,https://orka.sejm.gov.pl/osw10.nsf/0/97BDE8FF7C9C4755C1258A530061190C/%24File/OSW10P_043.pdf
44,https://orka.sejm.gov.pl/osw10.nsf/0/91D8F09463C1E27CC1258A540053BA62/%24File/OSW10P_044.pdf
45,https://orka.sejm.gov.pl/osw10.nsf/0/26BFAEA6CC80E4D9C1258A65006E37A6/%24File/OSW10P_045.pdf
46,https://orka.sejm.gov.pl/osw10.nsf/0/42FC7ECD09119B94C1258A5F00585D7D/%24File/OSW10P_046.pdf
47,https://orka.sejm.gov.pl/osw10.nsf/0/F2EEDB48ED134CC1C1258A6200360DE4/%24File/OSW10P_047.pdf
48,https://orka.sejm.gov.pl/osw10.nsf/0/47F1651335CE047AC1258A54004E35D8/%24File/OSW10P_048.pdf
49,https://orka.sejm.gov.pl/osw10.nsf/0/A0A9E691BCE5EBE7C1258A540055FB7B/%24File/OSW10P_049.pdf
50,https://orka.sejm.gov.pl/osw10.nsf/0/C137B71B6C06771AC1258A59003BC851/%24File/OSW10P_050.pdf
51,https://orka.sejm.gov.pl/osw10.nsf/0/7CFC2B4EFC89047DC1258A66002AB583/%24File/OSW10P_051.pdf
52,https://orka.sejm.gov.pl/osw10.nsf/0/E690F558AB28125AC1258A65006CAC53/%24File/OSW10P_052.pdf
53,https://orka.sejm.gov.pl/osw10.nsf/0/CBF403A126643D82C1258A5C003173AB/%24File/OSW10P_053.pdf
54,https://orka.sejm.gov.pl/osw10.nsf/0/548C0EBA865A1E72C1258A5400560D14/%24File/OSW10P_054.pdf
